OPPORTUNITY LINK,OPPORTUNITY TITLE,Status,"Private, Local, State, or Federal",AGENCY NAME,ESTIMATED FUNDING,EXPECTED NUMBER OF AWARDS,GRANTOR CONTACT,AGENCY CONTACT PHONE,DUE DATE,Instrument Type,Immigration Status Requirements,Description,Demographic Eligibility,Other Eligibility Requirements,COVID Specific,Location Eligibility
PAR-20-048,Building Population Health Research Capacity in the U.S. Affiliated Pacific Islands (U24  Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,07/15/2022,Cooperative Agreement,,,,,,
PAR-20-060,NIDCR Prospective Observational or Biomarker Validation Study Cooperative Agreement (U01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/09/2023,Cooperative Agreement,,,,,,
NOT-HL-19-727,Notice of Intent to Publish a Funding Opportunity Announcement for Generate an Intergenerational  Precision Medicine Resource for the Study of Factor VIII Immunogenicity in Severe Hemophilia A: Biospecimen and Data Resource Center (U24),Available,Federal,National Institutes of Health,1343000,1,"Iman K. Martin, PhD, MPH, MS",301-435-0065,,Cooperative Agreement,,,,,,
NOT-HL-19-726,Notice of Intent to Publish a Funding Opportunity Announcement for Generate A Precision Medicine Intergenerational Resource for the Study of Factor VIII Immunogenicity in Severe Hemophilia A:Clinical Coordinating Center,Available,Federal,National Institutes of Health,2060000,1,"Iman K. Martin, PhD, MPH, MS",301-435-0065,,Cooperative Agreement,,,,,,
PAR-20-097,Biomedical Knowledgebase (U24 - Clinical Trials Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/08/2023,Cooperative Agreement,,,,,,
PAR-20-089,Biomedical Data Repository (U24 - Clinical Trials Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/08/2023,Cooperative Agreement,,,,,,
PAR-20-100,Genomic Community Resources (U24 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/25/2023,Cooperative Agreement,,,,,,
PAR-20-101,Genomic Expert Curation Panels (U24 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/26/2022,Cooperative Agreement,,,,,,
PAR-20-099,"Harmonization of Alzheimers Disease and Related Dementias (AD/ADRD) Genetic, Epidemiologic, and Clinical Data to Enhance Therapeutic Target Discovery (U24 Clinical Trial Not Allowed)",Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/25/2023,Cooperative Agreement,,,,,,
PAR-20-092,Development of Medications to Prevent and Treat Opioid Use Disorders and Overdose (UG3/UH3) (Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/01/2022,Cooperative Agreement,,,,,,
PAR-20-110,National Institute on Aging Genetics of Alzheimer's Disease Data Storage Site (U24 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/25/2023,Cooperative Agreement,,,,,,
RFA-FD-21-001,Clinical Studies of Orphan Products Addressing Unmet Needs of Rare Diseases (R01) Clinical Trials Required,Available,Federal,Food and Drug Administration,,8,"Daniel Lukash
Grants Management Specialist
Phone 240-402-7596",,10/05/2021,Cooperative Agreement,,,,,,
PAR-20-118,National Cooperative Drug/Device Discovery/Development Groups (NCDDG) for the Treatment of Mental or Substance Use Disorders or Alcohol Disorder (U01 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,03/25/2022,Cooperative Agreement,,,,,,
PAR-20-119,National Cooperative Drug/Device Discovery/Development Groups (NCDDG) for the Treatment of Mental or Substance Use Disorders or Alcohol Disorder (U19 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,03/25/2022,Cooperative Agreement,,,,,,
PAR-20-120,Integrated Preclinical / Clinical AIDS Vaccine Development Program (IPCAVD) (U19 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,03/09/2022,Cooperative Agreement,,,,,,
PAR-20-111,Blueprint Neurotherapeutics Network (BPN): Small Molecule Drug Discovery and Development for Disorders of the Nervous System (U44 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Cooperative Agreement,,,,,,
PAR-20-122,Blueprint Neurotherapeutics Network (BPN): Small Molecule Drug Discovery and Development of Disorders of the Nervous System (UG3/UH3 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Cooperative Agreement,,,,,,
PAR-20-170,New Informatics Tools and Methods to Enhance U.S. Cancer Surveillance Research (U01 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,06/06/2023,Cooperative Agreement,,,,,,
PAR-20-175,IDeA Program Infrastructure for Clinical and Translational Research (IDeA-CTR)(U54 - Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,10/07/2022,Cooperative Agreement,,,,,,
PAR-20-216,NCCIH Natural Product Mid Phase Clinical Trial Cooperative Agreement (U01 Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Cooperative Agreement,,,,,,
PAR-20-219,Natural Product Multi-Site Clinical Trial Data Coordinating Center (Collaborative U24 Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Cooperative Agreement,,,,,,
PAR-20-215,Clinical Coordinating Center for NCCIH Multi-Site Investigator-Initiated Clinical Trials of Natural Products (Collaborative UG3/UH3 Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Cooperative Agreement,,,,,,
RFA-DA-21-006,BRAIN Initiative: Tools for Germline Gene Editing in Marmosets (U01 - Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,10/14/2022,Cooperative Agreement,,,,,,
PAR-20-285,"NIH StrokeNet Clinical Trials and Biomarker Studies for Stroke Treatment, Recovery, and Prevention (UG3/UH3 Clinical Trial Optional)",Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,07/23/2023,Cooperative Agreement,,,,,,
PAR-20-279,"Device-Based Treatments for Substance Use Disorders (UG3/UH3, Clinical Trial Optional)",Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,08/10/2023,Cooperative Agreement,,,,,,
PAR-20-294,Core Infrastructure Support for Cancer Epidemiology Cohorts (U01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,11/09/2022,Cooperative Agreement,,,,,,
PAR-20-220,"Institutional Network Award for Promoting Kidney, Urologic, and Hematologic Research Training (U2C - Clinical Trial Not Allowed)",Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,10/14/2022,Cooperative Agreement,,,,,,
RFA-NS-21-010,HEAL Initiative: Non-addictive Analgesic Therapeutics Development [Small Molecules and Biologics] to Treat Pain (UG3/UH3 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2022,Cooperative Agreement,,,,,,
RFA-MH-20-556,BRAIN Initiative: Pilot resources for brain cell type-specific access and manipulation across vertebrate species (U01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,10/19/2021,Cooperative Agreement,,,,,,
PAR-20-301,Drug Development Collaboratory (UG3/UH3 Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,06/09/2023,Cooperative Agreement,,,,,,
RFA-NS-19-001,BRAIN Initiative: Research Opportunities Using Invasive Neural Recording and Stimulating Technologies in the Human Brain (U01 Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,10/29/2021,Cooperative Agreement,,,,,,
RFA-NS-19-002,BRAIN Initiative: Team-Research BRAIN Circuit Programs - TeamBCP (U19 Clinical Trial Required),Available,Federal,National Institutes of Health,22000000,5,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,10/29/2021,Cooperative Agreement,,,,,,
RFA-NS-19-003,BRAIN Initiative: Team-Research BRAIN Circuit Programs - TeamBCP (U19 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,22000000,5,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,10/29/2021,Cooperative Agreement,,,,,,
PAR-20-306,National Dental Practice-Based Research Network Clinical Trial or Observational Study Planning and Implementation Cooperative Agreement (UG3/UH3 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2023,Cooperative Agreement,,,,,,
PAR-20-313,Assay Validation of High Quality Markers for Clinical Studies in Cancer (UH2/UH3 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,10/10/2023,Cooperative Agreement,,,,,,
PAR-20-314,Assay Validation of High Quality Markers for Clinical Studies in Cancer (UH3 Clinical Trials Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,10/10/2023,Cooperative Agreement,,,,,,
PAR-20-027,Genetic Architecture of Mental Disorders in Ancestrally Diverse Populations (Collaborative U01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/15/2021,Cooperative Agreement,,,,,,
PAR-20-026,Genetic Architecture of Mental Disorders in Ancestrally Diverse Populations (U01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/15/2021,Cooperative Agreement,,,,,,
F21AS00155,Endangered Species Recovery Implementation,Available,Federal,Fish and Wildlife Service,14000000,,"Amanda Murnane
amanda_murnane@fws.gov",,09/30/2021,Cooperative Agreement,,,,,,
F21AS00156,Candidate Species Conservation Fund,Available,Federal,Fish and Wildlife Service,500000,,"Amanda Murnane
amanda_murnane@fws.gov",,09/30/2021,Cooperative Agreement,,,,,,
PAR-21-036,NIAMS Clinical Trial Implementation Cooperative Agreement (U01 Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,11/03/2023,Cooperative Agreement,,,,,,
F21AS00193,Partners for Fish and Wildlife,Available,Federal,Fish and Wildlife Service,57000000,,"Andreas Moshogianis
andreas_moshogianis@fws.gov",,09/30/2021,Cooperative Agreement,,,,,,
PAR-21-043,NEI Collaborative Clinical Vision Project: Resource Center Grant (UG1- Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Cooperative Agreement,,,,,,
PAR-21-042,NEI Collaborative Clinical Vision Research Project: Coordinating Center Grant (UG1 Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Cooperative Agreement,,,,,,
PAR-21-041,NEI Collaborative Clinical Vision Research : Chair's Grant (UG1-Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2023,Cooperative Agreement,,,,,,
PAR-21-056,Analytical Validation of a Candidate Biomarker for Neurological or Neuromuscular Disorders(U01 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2023,Cooperative Agreement,,,,,,
PAR-21-058,Clinical Validation of a Candidate Biomarker for Neurological or Neuromuscular Disorders (U01 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2023,Cooperative Agreement,,,,,,
PAR-21-057,Analytical Validation of a Candidate Biomarker for Neurological or Neuromuscular Disorders (U44 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2023,Cooperative Agreement,,,,,,
PAR-21-059,Clinical Validation of a Candidate Biomarker for Neurological or Neuromuscular Disorders (U44 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/07/2023,Cooperative Agreement,,,,,,
RFA-CA-21-010,Revision Applications for Incorporation of Novel NCI-Supported Technology to Accelerate Cancer Research (U2C Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/29/2021,Cooperative Agreement,,,,,,
RFA-CA-21-009,Revision Applications for Incorporation of Novel NCI-Supported Technology to Accelerate Cancer Research (U54 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/29/2021,Cooperative Agreement,,,,,,
RFA-CA-21-008,Revision Applications for Incorporation of Novel NCI- Supported Technology to Accelerate Cancer Research (U01 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/29/2021,Cooperative Agreement,,,,,,
RFA-CA-21-015,Advanced Development of Informatics Technologies for Cancer Research and Management (U24 Clinical Trial Optional),Available,Federal,National Institutes of Health,3600000,4,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,11/17/2021,Cooperative Agreement,,,,,,
RFA-CA-21-016,Sustained Support for Informatics Technologies for Cancer Research and Management (U24 Clinical Trial Optional),Available,Federal,National Institutes of Health,2250000,2,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,11/17/2021,Cooperative Agreement,,,,,,
RFA-CA-21-019,Revision Applications to Support the Application of Informatics Technology for Cancer Research (U24 Clinical Trial Optional),Available,Federal,National Institutes of Health,600000,4,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,11/18/2021,Cooperative Agreement,,,,,,
RFA-CA-21-018,Revision Applications to Support the Application of Informatics Technology for Cancer Research (U01 Clinical Trials Optional),Available,Federal,National Institutes of Health,600000,4,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,11/17/2021,Cooperative Agreement,,,,,,
RFA-CA-21-014,Early-Stage Development of Informatics Technologies for Cancer Research and Management (U01 Clinical Trial Optional),Available,Federal,National Institutes of Health,2250000,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,11/17/2021,Cooperative Agreement,,,,,,
F21AS00197,Coastal Program,Available,Federal,Fish and Wildlife Service,13000000,,"Chris Darnell
chris_darnell@fws.gov",,09/30/2021,Cooperative Agreement,,,,,,
PAR-21-064,NIDCD Cooperative Agreement for Clinical Trials in Communication Disorders (U01 - Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,10/10/2023,Cooperative Agreement,,,,,,
PAR-20-316,Countermeasures Against Chemical Threats (CounterACT) Research Centers of Excellence (U54 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/12/2023,Cooperative Agreement,,,,,,
PAR-21-092,NIDA Translational Avant-Garde Award for Development of Medication to Treat Substance Use Disorders (UG3/UH3 Clinical Trial Optional),Available,Federal,National Institutes of Health,2000000,2,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,07/25/2023,Cooperative Agreement,,,,,,
PAR-21-101,NIDDK High Risk Multi-Center Clinical Study Implementation Planning Cooperative Agreements (U34 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,02/15/2024,Cooperative Agreement,,,,,,
PAR-21-103,NIDDK High Risk Multi-Center Clinical Study Cooperative Agreement (U01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2024,Cooperative Agreement,,,,,,
PAR-21-102,NIDDK High Risk Multi-Center Clinical Study Cooperative Agreement (U01 Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/07/2024,Cooperative Agreement,,,,,,
RFA-TR-21-010,Basket Clinical Trials of Drugs Targeting Shared Molecular Etiologies in Multiple Rare Diseases (U44 Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/12/2022,Cooperative Agreement,,,,,,
PAR-21-082,NIAID SBIR Phase II Clinical Trial Implementation Cooperative Agreement (U44 Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/13/2024,Cooperative Agreement,,,,,,
PAR-21-083,NIAID Clinical Trial Implementation Cooperative Agreement (U01 Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,01/13/2024,Cooperative Agreement,,,,,,
PAR-21-117,Limited Competition for the Continuation or Revision of Multisite Clinical Trial Clinical Coordinating Center (Collaborative UH3 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/27/2023,Cooperative Agreement,,,,,,
PAR-21-116,Limited Competition for the Continuation of Multisite Clinical Trial Data Coordinating Center (Collaborative U24 Clinical Trial Optional),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,09/27/2023,Cooperative Agreement,,,,,,
W911NF-18-S-0005,"U.S. Army Research Institute for the Behavioral and Social Sciences Broad Agency Announcement for Basic, Applied, and Advanced Research (Fiscal Years 2018-2023)",Available,Federal,Dept of the Army -- Materiel Command,,,Maria D. Nelson,,04/29/2023,Cooperative Agreement,,,,,,
W911NF-21-S-0007,"Army Research Institute for the Behavioral and Social Sciences Broad Agency Announcement for Basic Scientific Research, Foundational Science Research Unit (2021-2022)",Available,Federal,Dept of the Army -- Materiel Command,,,Maria D. Nelson,,08/07/2022,Cooperative Agreement,,,,,,
PAR-21-179,Minor Use Minor Species Development of Drugs (R01),Available,Federal,Food and Drug Administration,500000,6,"Rene A Vasquez
Phone 301-796-3546",,02/03/2024,Cooperative Agreement,,,,,,
PAR-21-178,Drug Development Tools Research Grants (U01) Clinical Trial Optional,Available,Federal,Food and Drug Administration,,30,"Shashi Malhotra
Grants Management Specialist
Phone 2404027592",,05/03/2023,Cooperative Agreement,,,,,,
PAR-21-133,First in Human and Early Stage Clinical Trials of Novel Investigational Drugs or Devices for Psychiatric Disorders (U01 Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,02/15/2024,Cooperative Agreement,,,,,,
PAR-21-160,NIDCR Clinical Trial Planning and Implementation Cooperative Agreement (UG3/UH3 Clinical Trial Required),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2024,Cooperative Agreement,,,,,,
PAR-21-193,NIOSH Support for Conferences and Scientific Meetings (U13 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,12/14/2025,Cooperative Agreement,,,,,,
RFA-AI-21-021,Enhancement or Sustainment of Data Science Tools for Infectious and Immune-Mediated diseases (U24 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,1800000,2,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,07/06/2023,Cooperative Agreement,,,,,,
RFA-AI-21-020,Early-Stage Development of Data Science Technologies for Infectious and Immune-mediated Diseases (U01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,1350000,3,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,07/06/2023,Cooperative Agreement,,,,,,
PAR-20-083,Enhancing Regulatory Science for Advancing Pharmaceutical Quality and Manufacturing (U01) Clinical Trials Optional,Available,Federal,Food and Drug Administration,10000000,2,"Shashi Malhotra
Grants Management Specialist
Phone 2404027592",,04/04/2022,Cooperative Agreement,,,,,,
PAR-21-212,Limited Competition: Alzheimers Disease Sequencing Project Follow-Up Study 2.0 (ADSP FUS 2.0): The Diverse Population Initiative (U01 Clinical Trial Not Allowed),Available,Federal,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,05/07/2024,Cooperative Agreement,,,,,,
